artist,song.name,year,corpus,rank,start,end,male,non.cis,race,ethnicity,primary.status,BIPOC,gender,encoder,
Martha and the Vandellas,Dancing in the Street,1964,2004,40,0,8,0,0,0,1,0,0,0,A. Brown,
Martha and the Vandellas,Dancing in the Street,1964,2021,130,0,8,0,0,0,1,0,0,0,A. Brown,
Martha and the Vandellas,Heat Wave,1963,2021,257,0,27,0,0,0,1,0,0,0,A. Brown,
Martha and the Vandellas,Nowhere to Run,1965,2004,358,0,6,0,0,0,1,0,0,0,A. Brown,
Marvin Gaye,I Heard It Through the Grapevine,1968,2004,80,0,20,0,0,0,1,0,0,0,A. Brown,
Marvin Gaye,I Heard It Through the Grapevine,1968,2021,119,0,20,0,0,1,1,1,1,0,A. Brown,
Marvin Gaye,Let's Get It On,1973,2004,167,0,2,0,0,1,1,1,1,0,A. Brown,
Marvin Gaye,Let's Get it On,1973,2021,264,0,2,0,0,1,1,1,1,0,A. Brown,
Marvin Gaye,Sexual Healing,1982,2004,231,0,17,1,0,0,0,1,0,1,A. Brown,
Marvin Gaye,Sexual Healing,1982,2021,198,0,17,0,0,0,0,0,0,0,A. Brown,
Marvin Gaye,What's Going On,1971,2021,6,7,17,1,0,0,0,1,0,1,A. Brown,
Marvin Gaye,What's Going On,1971,2004,4,7,17,0,0,1,0,1,1,0,A. Brown,
Mary J. Blige,Real Love,1992,2021,327,0,4,0,0,0,0,0,0,0,A. Brown,
Mazzy Star,Fade Into You,1993,2021,468,0,19,1,0,0,0,1,0,1,A. Brown,
Megan Thee Stallion feat. Beyoncé,Savage (Remix),2020,2021,438,0,2,0,0,0,0,0,0,0,A. Brown,
Merle Haggard,Mama Tried,1968,2021,376,0,11,0,0,0,0,0,0,0,A. Brown,
Metallica,Enter Sandman,1991,2004,399,0,70,0,0,0,0,0,0,0,A. Brown,
Metallica,Enter Sandman,1991,2021,390,0,70,0,0,0,0,0,0,0,A. Brown,
Metallica,Master of Puppets,1986,2021,256,0,60,0,0,1,1,1,1,0,A. Brown,
Michael Jackson,Beat It,1982,2004,337,0,38,0,0,0,0,0,0,0,A. Brown,
Michael Jackson,Beat It,1982,2021,185,0,38,0,0,0,0,0,0,0,A. Brown,
Michael Jackson,Billie Jean,1983,2004,58,0,28,0,0,0,0,0,0,0,A. Brown,
Michael Jackson,Billie Jean,1982,2021,44,0,28,1,0,1,1,1,1,1,A. Brown,
Michael Jackson,Rock With You,1979,2021,354,0,18,1,0,0,1,1,1,1,A. Brown,
Migos feat. Lil Uzi Vert,Bad and Boujee,2016,2021,451,0,15,1,0,0,0,1,0,1,A. Brown,
Miles Davis,So What,1959,2021,492,0,33,0,0,0,1,1,1,0,A. Brown,
Miranda Lambert,The House That Built Me,2010,2021,441,0,20,1,0,1,1,1,1,1,A. Brown,
Missy Elliott,Get Ur Freak On,2001,2021,8,0,22,1,0,0,0,1,0,1,A. Brown,
Missy Elliott,The Rain (Supa Dupa Fly),1997,2021,453,0,31,0,0,1,0,1,1,0,A. Brown,
Missy Elliott,Work It,2000,2021,56,0,29,0,0,1,0,1,1,0,A. Brown,
Mitch Ryder and the Detroit Wheels,Devil With a Blue Dress On / Good Golly Miss Molly,1966,2004,428,0,30,0,0,1,0,1,1,0,A. Brown,
Mobb Deep,"Shook Ones, Pt. II",1995,2021,215,0,27,0,0,1,0,1,1,0,A. Brown,
Motörhead,Ace of Spades,1980,2021,442,0,13,0,0,1,0,1,1,0,A. Brown,
Sly and the Family Stone,Family Affair,1971,2004,138,0,4,0,0,0,0,0,0,0,A. Brown,
Sly and the Family Stone,Family Affair,1971,2021,57,0,4,0,0,1,0,1,1,0,A. Brown,
Sly and the Family Stone,Hot Fun in the Summertime,1969,2004,247,0,10,0,0,1,0,1,1,0,A. Brown,
Sly and the Family Stone,Stand!,1969,2004,241,0,3,0,0,1,0,1,1,0,A. Brown,
Sly and the Family Stone,Thank You (Falettinme Be Mice Elf Agin),1970,2004,402,0,18,0,0,1,0,1,1,0,A. Brown,
Smokey Robinson,Ooo Baby Baby,1965,2004,262,0,10,0,0,1,0,1,1,0,A. Brown,
Smokey Robinson and the Miracles,The Tears of a Clown,1967,2021,313,0,13,0,0,1,0,1,1,0,A. Brown,
Smokey Robinson and the Miracles,The Tracks of My Tears,1965,2021,54,0,20,1,0,0,0,1,0,1,A. Brown,
Solange,Cranes in the Ski,2016,2021,487,0,26,1,0,0,0,0,0,0,A. Brown,
Solomon Burke,Everybody Needs Somebody to Love,1964,2004,429,0,57,1,0,0,0,0,0,0,A. Brown,
Sonic Youth,Teenage Riot,1988,2021,157,0,124,0,0,0,1,0,0,0,A. Brown,
Sonny and Cher,I Got You Babe,1965,2004,444,0,7,0,0,0,0,0,0,0,A. Brown,
Soundgarden,Black Hole Sun,1994,2021,368,0,16,0,0,0,0,0,0,0,A. Brown,
Spencer Davis Group,Gimme Some Lovin',1966,2004,244,0,29,0,0,1,0,1,1,0,A. Brown,
Steel Pulse,Ku Klux Klan,1978,2021,460,0,30,0,0,0,0,0,0,0,A. Brown,
Steely Dan,Deacon Blues,1977,2021,214,0,14,0,0,0,0,0,0,0,A. Brown,
Steppenwolf,Born To Be Wild,1968,2004,129,0,14,0,0,0,0,0,0,0,A. Brown,
Stevie Nicks,Edge of Seventeen,1981,2021,217,0,8,1,0,0,0,1,0,1,A. Brown,
Stevie Wonder,Higher Ground,1973,2004,261,0,23,0,0,1,0,1,1,0,A. Brown,
Stevie Wonder,Higher Ground,1973,2021,113,0,23,0,0,1,0,1,1,0,A. Brown,
Stevie Wonder,Living for the City,1973,2004,104,0,11,0,0,1,0,1,1,0,A. Brown,
Stevie Wonder,"Signed, Sealed, Delivered I'm Yours",1970,2021,203,0,10,0,0,1,0,1,1,0,A. Brown,
Stevie Wonder,Superstition,1972,2004,74,0,29,1,0,1,0,1,1,1,A. Brown,
Stevie Wonder,Superstition,1972,2021,12,0,29,1,0,1,0,1,1,1,A. Brown,
Stevie Wonder,You Are the Sunshine of My Life,1972,2004,281,0,15,0,0,0,0,0,0,0,A. Brown,
Stevie Wonder,You Are the Sunshine of My Life,1972,2021,183,0,15,0,0,1,0,1,1,0,A. Brown,
Sugar Hill Gang,Rapper's Delight,1979,2021,427,0,17,0,0,1,0,1,1,0,A. Brown,
Sylvester,You Make Me Feel (Mighty Real),1978,2021,399,0,29,1,0,0,0,0,0,0,A. Brown,
Notorious B.I.G.,Juicy,1994,2021,32,,,0,0,0,0,0,0,0,AH,
Oasis,Wonderwall,1995,2021,95,,,0,0,0,0,0,0,0,AH,
Otis Redding,(Sittin' on) the Dock of the Bay,1968,2004,28,,,0,0,0,0,0,0,0,AH,
Otis Redding,(Sittin' on) the Dock of the Bay,1967,2021,38,,,0,0,0,0,0,0,0,AH,
Otis Redding,I've Been Loving You Too Long (to Stop Now),1965,2004,110,,,0,0,0,0,0,0,0,AH,
Otis Redding,Try a Little Tenderness,1966,2004,204,,,1,0,0,0,1,0,1,AH,
Otis Redding,Try a Little Tenderness,1966,2021,136,,,0,0,1,0,1,1,0,AH,
Outkast,B.O.B.,2000,2021,39,,,0,0,0,0,0,0,0,AH,
Outkast,Hey Ya!,2003,2004,180,,,1,0,1,0,1,1,1,AH,
Outkast,Hey Ya!,2003,2021,10,,,1,0,1,0,1,1,1,AH,
Outkast,Ms. Jackson,2000,2021,145,,,1,0,0,0,1,0,1,AH,
Parliament,Flash Light,1977,2004,199,,,0,0,0,0,0,0,0,AH,
Parliament,Flash Light,1977,2021,252,,,0,0,0,0,0,0,0,AH,
Patsy Cline,Crazy,1961,2004,85,,,0,0,1,0,1,1,0,AH,
Patsy Cline,Crazy,1961,2021,195,,,1,0,0,0,0,0,0,AH,
Patsy Cline,I Fall to Pieces,1961,2004,238,,,1,0,0,0,1,0,1,AH,
Patti Smith,Because the Night,1978,2021,358,,,1,0,0,0,1,0,1,AH,
Patti Smith,Gloria,1975,2021,97,,,0,0,0,0,0,0,0,AH,
Patti Smith Group,Dancing Barefoot,1979,2004,323,,,0,0,1,0,1,1,0,AH,
Paul McCartney,Maybe I'm Amazed,1970,2004,338,,,1,0,1,0,1,1,1,AH,
Paul Revere and the Raiders,Kicks,1966,2004,400,,,0,0,1,0,1,1,0,AH,
Paul Simon,American Tune,1973,2021,262,,,0,0,0,0,0,0,0,AH,
Paul Simon,Graceland,1986,2004,485,,,0,0,1,0,1,1,0,AH,
Pavement,Summer Babe (Winter Version),1992,2004,286,,,0,0,1,0,1,1,0,AH,
Pavement,Summer Babe (Winter Version),1992,2021,244,,,1,0,1,0,1,1,1,AH,
Pearl Jam,Alive,1991,2021,416,,,1,0,1,0,1,1,1,AH,
Percy Sledge,When a Man Loves a Woman,1966,2004,54,,,0,0,1,0,1,1,0,AH,
Pet Shop Boys,West End Girls,1984,2021,433,,,0,0,0,0,0,0,0,AH,
Pete Rock and CL Smooth,They Reminisce Over You,1992,2021,430,,,0,0,1,0,0,0,0,AH,
Peter Gabriel,Solsbury Hill,1977,2021,472,,,0,0,1,0,0,0,0,AH,
Phil Collins,In the Air Tonight,1981,2021,291,,,0,0,0,0,0,0,0,AH,
Pink Floyd,Another Brick in the Wall Part 2,1979,2004,375,,,0,0,0,0,0,0,0,AH,
Dusty Springfield,You Don't Have to Say You Love Me,1966,2004,491,,,0,0,1,0,1,1,0,CBT,
"Earth, Wind, and Fire",September,1978,2021,65,,,0,0,1,0,1,1,0,CBT,
"Earth, Wind, and Fire",That's the Way of the World,1975,2004,329,,,0,0,1,0,1,1,0,CBT,
Eddie Cochran,C'mon Everybody,1958,2004,403,,,0,0,1,1,1,1,0,CBT,
Eddie Cochran,Summertime Blues,1958,2004,73,,,1,0,1,0,1,1,1,CBT,
Eddie Cochran,Summertime Blues,1958,2021,432,,,0,0,0,0,0,0,0,CBT,
Elton John,Bennie and the Jets,1973,2021,371,,,0,0,0,0,0,0,0,CBT,
Elton John,Candle in the Wind,1973,2004,347,,,0,0,0,0,0,0,0,CBT,
Elton John,Goodbye Yellow Brick Road,1973,2004,380,,,0,0,0,0,0,0,0,CBT,
Elton John,Rocket Man,1972,2004,242,,,0,0,0,0,0,0,0,CBT,
Elton John,Rocket Man,1972,2021,149,,,0,0,1,0,1,1,0,CBT,
Elton John,Tiny Dancer,1971,2004,387,,,0,0,1,0,1,1,0,CBT,
Elton John,Tiny Dancer,1972,2021,47,,,0,0,1,0,1,1,0,CBT,
Elton John,Your Song,1970,2004,136,,,0,0,1,0,1,1,0,CBT,
Elton John,Your Song,1970,2021,202,,,0,0,1,0,1,1,0,CBT,
Elvis Costello,Alison,1977,2004,318,,,0,0,1,0,1,1,0,CBT,
Elvis Costello,Alison,1977,2021,396,,,0,0,1,1,1,1,0,CBT,
