artist,title,primary.status,BIHAP,gender,year,corpus,total,rank
Aretha Franklin,Respect,1,1,1,1967,2021,9,1
Bob Dylan,Like a Rolling Stone,0,0,0,1965,2004,10,1
Public Enemy,Fight the Power,1,1,0,1989,2021,44,2
The Rolling Stones,Satisfaction,0,0,0,1965,2004,14,2
Sam Cooke,A Change Is Gonna Come,1,1,0,1964,2021,15,3
John Lennon,Imagine,0,0,0,1971,2004,14,3
Bob Dylan,Like a Rolling Stone,0,0,0,1965,2021,11,4
Marvin Gaye,What's Going On,1,1,0,1971,2004,10,4
Nirvana,Smells Like Teen Spirit,0,0,0,1991,2021,9,5
Aretha Franklin,Respect,1,1,1,1967,2004,9,5
Marvin Gaye,What's Going On,1,1,0,1971,2021,10,6
The Beach Boys,Good Vibrations,0,0,0,1966,2004,25,6
The Beatles,Strawberry Fields Forever,0,0,0,1967,2021,15,7
Chuck Berry,Johnny B. Goode,1,1,0,1958,2004,17,7
Missy Elliott,Get Ur Freak On,1,1,1,2001,2021,22,8
The Beatles,Hey Jude,0,0,0,1968,2004,0,8
Fleetwood Mac,Dreams,1,0,1,1977,2021,17,9
Nirvana,Smells Like Teen Spirit,0,0,0,1991,2004,9,9
Outkast,Hey Ya!,1,1,0,2003,2021,2,10
Ray Charles,What'd I Say,1,1,0,1959,2004,48,10
The Beach Boys,God Only Knows,0,0,0,1966,2021,17,11
The Who,My Generation,0,0,0,1965,2004,4,11
Stevie Wonder,Superstition,1,1,0,1972,2021,29,12
Sam Cooke,A Change Is Gonna Come,1,1,0,1964,2004,15,12
The Rolling Stones,Gimme Shelter,0,0,0,1969,2021,49,13
The Beatles,Yesterday,0,0,0,1965,2004,5,13
The Kinks,Waterloo Sunset,0,0,0,1967,2021,16,14
Bob Dylan,Blowin' in the Wind,0,0,0,1963,2004,2,14
The Beatles,I Want to Hold Your Hand,0,0,0,1963,2021,7,15
The Clash,London Calling,0,0,0,1980,2004,21,15
Beyonce feat. Jay-Z,Crazy in Love,1,1,0,2003,2021,14,16
The Beatles,I Want to Hold Your Hand,0,0,0,1963,2004,7,16
Queen,Bohemian Rhapsody,0,0,0,1975,2021,24,17
The Jimi Hendrix Experience,Purple Haze,1,1,0,1967,2004,31,17
Prince and the Revolution,Purple Rain,1,1,1,1984,2021,17,18
Chuck Berry,Maybellene,1,1,0,1955,2004,4,18
John Lennon,Imagine,0,0,0,1971,2021,14,19
Elvis Presley,Hound Dog,0,0,0,1956,2004,0,19
Robyn,Dancing on My Own,1,1,1,2010,2021,17,20
The Beatles,Let It Be,0,0,0,1970,2004,12,20
Billie Holiday,Strange Fruit,1,1,1,1939,2021,19,21
Bruce Springsteen,Born to Run,0,0,0,1975,2004,13,21
The Ronettes,Be My Baby,1,1,1,1963,2021,8,22
The Ronettes,Be My Baby,1,1,1,1963,2004,8,22
David Bowie,Heroes,0,0,0,1977,2021,17,23
The Beatles,In My Life,0,0,0,1965,2004,8,23
The Beatles,A Day in the Life,0,0,0,1967,2021,13,24
The Impressions,People Get Ready,1,1,0,1965,2004,14,24
Kanye West feat. Pusha T,Runaway,1,1,0,2010,2021,38,25
The Beach Boys,God Only Knows,0,0,0,1966,2004,17,25
Joni Mitchell,A Case of You,1,0,0,1971,2021,19,26
The Beatles,A Day in the Life,0,0,0,1967,2004,13,26
Bruce Springsteen,Born to Run,0,0,0,1975,2021,13,27
Derek and the Dominos,Layla,0,0,0,1970,2004,24,27
Talking Heads,Once in a Lifetime,0,0,0,1980,2021,17,28
Otis Redding,(Sittin' on) the Dock of the Bay,1,1,0,1968,2004,9,28
Dr. Dre feat. Snoop Doggy Dogg,Nuthin' But a 'G' Thang,1,1,0,1992,2021,9,29
The Beatles,Help!,0,0,0,1965,2004,10,29
Lorde,Royals,1,0,1,2011,2021,0,30
Johnny Cash,I Walk the Line,0,0,0,1956,2004,29,30
The Rolling Stones,(I Can't Get No) Satisfaction,0,0,0,1965,2021,14,31
Led Zeppelin,Stairway To Heaven,0,0,0,1971,2004,53,31
The Rolling Stones,Sympathy for the Devil,0,0,0,1968,2004,21,32
Chuck Berry,Johnny B. Goode,1,1,0,1958,2021,17,33
Ike and Tina Turner,River Deep - Mountain High,1,1,1,1966,2004,4,33
James Brown,Papa's Got a Brand New Bag,1,1,0,1966,2021,0,34
The Righteous Brothers,You've Lost That Lovin' Feelin',0,0,0,1964,2004,0,34
Little Richard,Tutti Frutti,1,1,0,1955,2021,0,35
The Doors,Light My Fire,0,0,0,1967,2004,9,35
The White Stripes,Seven Nation Army,1,0,1,2003,2021,16,36
U2,One,0,0,0,1991,2004,12,36
Prince and the Revolution,When Doves Cry,1,1,1,1984,2021,17,37
Bob Marley and the Wailers,No Woman No Cry,1,1,0,1975,2004,10,37
Otis Redding,(Sittin' on) the Dock of the Bay,1,1,0,1967,2021,9,38
The Rolling Stones,Gimme Shelter,0,0,0,1969,2004,49,38
Outkast,B.O.B.,1,1,0,2000,2021,5,39
Buddy Holly,That'll Be the Day,0,0,0,1957,2004,2,39
The Jimi Hendrix Experience,All Along the Watchtower,1,1,0,1968,2021,17,40
Martha and the Vandellas,Dancing in the Street,1,1,1,1964,2004,8,40
Joy Division,Love Will Tear Us Apart,0,0,0,1980,2021,27,41
The Band,The Weight,0,0,0,1968,2004,6,41
Bob Marley and the Wailers,Redemption Song,1,1,0,1980,2021,16,42
The Kinks,Waterloo Sunset,0,0,0,1967,2004,16,42
The Temptations,My Girl,1,1,0,1965,2021,9,43
Little Richard,Tutti Frutti,1,1,0,1955,2004,0,43
Michael Jackson,Billie Jean,1,1,0,1982,2021,28,44
Kendrick Lamar,Alright,1,1,0,2015,2021,3,45
Elvis Presley,Heartbreak Hotel,0,0,0,1956,2004,0,45
M.I.A.,Paper Planes,1,1,1,2008,2021,11,46
David Bowie,Heroes,0,0,0,1977,2004,17,46
Elton John,Tiny Dancer,0,0,0,1972,2021,13,47
Simon and Garfunkel,Bridge over Troubled Water,0,0,0,1970,2004,22,47
Radiohead,Idioteque,0,0,0,2000,2021,59,48
The Jimi Hendrix Experience,All Along the Watchtower,1,1,0,1968,2004,17,48
Lauryn Hill,Doo Wop (That Thing),1,1,1,1998,2021,1,49
The Eagles,Hotel California,0,0,0,1976,2004,52,49
Daddy Yankee,Gasolina,1,1,0,2010,2021,20,50
Dionne Warwick,Walk On By,1,1,1,1964,2021,4,51
Grandmaster Flash and the Furious Five,The Message,1,1,0,1982,2004,42,51
Donna Summer,I Feel Love,1,1,1,1977,2021,41,52
Prince and the Revolution,When Doves Cry,1,1,1,1984,2004,17,52
The Beach Boys,Good Vibrations,0,0,0,1966,2021,0,53
Sex Pistols,Anarchy in the U.K.,0,0,0,1977,2004,14,53
Smokey Robinson and the Miracles,The Tracks of My Tears,1,1,0,1965,2021,20,54
Percy Sledge,When a Man Loves a Woman,1,1,0,1966,2004,14,54
Madonna,Like a Prayer,1,0,1,1989,2021,10,55
The Kingsmen,Louie Louie,0,0,0,1963,2004,8,55
Missy Elliott,Work It,1,1,1,2000,2021,29,56
Little Richard,Long Tall Sally,1,1,0,1956,2004,0,56
